path,whisper_language,whisper_segment_id,whisper_segment_seek,whisper_segment_start,whisper_segment_end,whisper_segment_text,whisper_segment_tokens,whisper_segment_temperature,whisper_segment_avg_logprob,whisper_segment_compression_ratio,whisper_segment_no_speech_prob,whisper_segment_raw,whisperx_word,whisperx_word_start,whisperx_word_end,whisperx_word_score,whisperx_word_raw
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,1,0,3.2600000000000002,5.78, How did you celebrate your last festival?,"[50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",you,3.849,3.971,0.999,"{""word"": ""you"", ""start"": 3.849, ""end"": 3.971, ""score"": 0.999}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,1,0,3.2600000000000002,5.78, How did you celebrate your last festival?,"[50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",celebrate,4.032,4.581,0.947,"{""word"": ""celebrate"", ""start"": 4.032, ""end"": 4.581, ""score"": 0.947}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,1,0,3.2600000000000002,5.78, How did you celebrate your last festival?,"[50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",your,4.622,4.967,0.866,"{""word"": ""your"", ""start"": 4.622, ""end"": 4.967, ""score"": 0.866}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,1,0,3.2600000000000002,5.78, How did you celebrate your last festival?,"[50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",last,5.048,5.333,0.973,"{""word"": ""last"", ""start"": 5.048, ""end"": 5.333, ""score"": 0.973}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,1,0,3.2600000000000002,5.78, How did you celebrate your last festival?,"[50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",festival?,5.394,5.8,0.539,"{""word"": ""festival?"", ""start"": 5.394, ""end"": 5.8, ""score"": 0.539}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,2,0,6.3,7.86, What do you feel about that?,"[50680, 708, 360, 291, 841, 466, 300, 30, 50758]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",What,6.3,6.608,0.913,"{""word"": ""What"", ""start"": 6.3, ""end"": 6.608, ""score"": 0.913}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,2,0,6.3,7.86, What do you feel about that?,"[50680, 708, 360, 291, 841, 466, 300, 30, 50758]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",do,6.711,6.854,0.952,"{""word"": ""do"", ""start"": 6.711, ""end"": 6.854, ""score"": 0.952}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,2,0,6.3,7.86, What do you feel about that?,"[50680, 708, 360, 291, 841, 466, 300, 30, 50758]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",you,6.895,7.018,0.845,"{""word"": ""you"", ""start"": 6.895, ""end"": 7.018, ""score"": 0.845}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,2,0,6.3,7.86, What do you feel about that?,"[50680, 708, 360, 291, 841, 466, 300, 30, 50758]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",feel,7.101,7.326,0.88,"{""word"": ""feel"", ""start"": 7.101, ""end"": 7.326, ""score"": 0.88}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,2,0,6.3,7.86, What do you feel about that?,"[50680, 708, 360, 291, 841, 466, 300, 30, 50758]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",about,7.408,7.655,0.958,"{""word"": ""about"", ""start"": 7.408, ""end"": 7.655, ""score"": 0.958}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,2,0,6.3,7.86, What do you feel about that?,"[50680, 708, 360, 291, 841, 466, 300, 30, 50758]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",that?,7.716,7.881,0.914,"{""word"": ""that?"", ""start"": 7.716, ""end"": 7.881, ""score"": 0.914}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0,0,0.0,2.56, How did you celebrate your last festival?,"[50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.56, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",How,0.0,0.223,0.942,"{""word"": ""How"", ""start"": 0.0, ""end"": 0.223, ""score"": 0.942}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0,0,0.0,2.56, How did you celebrate your last festival?,"[50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.56, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",did,0.345,0.528,0.884,"{""word"": ""did"", ""start"": 0.345, ""end"": 0.528, ""score"": 0.884}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0,0,0.0,2.56, How did you celebrate your last festival?,"[50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.56, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",you,0.752,0.894,0.987,"{""word"": ""you"", ""start"": 0.752, ""end"": 0.894, ""score"": 0.987}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0,0,0.0,2.56, How did you celebrate your last festival?,"[50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.56, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",celebrate,0.955,1.463,0.937,"{""word"": ""celebrate"", ""start"": 0.955, ""end"": 1.463, ""score"": 0.937}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0,0,0.0,2.56, How did you celebrate your last festival?,"[50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.56, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",your,1.524,1.707,0.883,"{""word"": ""your"", ""start"": 1.524, ""end"": 1.707, ""score"": 0.883}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0,0,0.0,2.56, How did you celebrate your last festival?,"[50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.56, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",last,1.829,2.093,0.908,"{""word"": ""last"", ""start"": 1.829, ""end"": 2.093, ""score"": 0.908}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0,0,0.0,2.56, How did you celebrate your last festival?,"[50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.56, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50365, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50493], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",festival?,2.194,2.58,0.493,"{""word"": ""festival?"", ""start"": 2.194, ""end"": 2.58, ""score"": 0.493}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1,0,3.18,6.68, I celebrate my last festival with my daughter.,"[50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 1, ""seek"": 0, ""start"": 3.18, ""end"": 6.68, ""text"": "" I celebrate my last festival with my daughter."", ""tokens"": [50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",I,3.18,3.585,0.777,"{""word"": ""I"", ""start"": 3.18, ""end"": 3.585, ""score"": 0.777}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1,0,3.18,6.68, I celebrate my last festival with my daughter.,"[50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 1, ""seek"": 0, ""start"": 3.18, ""end"": 6.68, ""text"": "" I celebrate my last festival with my daughter."", ""tokens"": [50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",celebrate,3.605,4.232,0.929,"{""word"": ""celebrate"", ""start"": 3.605, ""end"": 4.232, ""score"": 0.929}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1,0,3.18,6.68, I celebrate my last festival with my daughter.,"[50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 1, ""seek"": 0, ""start"": 3.18, ""end"": 6.68, ""text"": "" I celebrate my last festival with my daughter."", ""tokens"": [50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",my,4.272,4.798,0.76,"{""word"": ""my"", ""start"": 4.272, ""end"": 4.798, ""score"": 0.76}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1,0,3.18,6.68, I celebrate my last festival with my daughter.,"[50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 1, ""seek"": 0, ""start"": 3.18, ""end"": 6.68, ""text"": "" I celebrate my last festival with my daughter."", ""tokens"": [50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",last,4.859,5.142,0.979,"{""word"": ""last"", ""start"": 4.859, ""end"": 5.142, ""score"": 0.979}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1,0,3.18,6.68, I celebrate my last festival with my daughter.,"[50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 1, ""seek"": 0, ""start"": 3.18, ""end"": 6.68, ""text"": "" I celebrate my last festival with my daughter."", ""tokens"": [50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",festival,5.223,5.689,0.909,"{""word"": ""festival"", ""start"": 5.223, ""end"": 5.689, ""score"": 0.909}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1,0,3.18,6.68, I celebrate my last festival with my daughter.,"[50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 1, ""seek"": 0, ""start"": 3.18, ""end"": 6.68, ""text"": "" I celebrate my last festival with my daughter."", ""tokens"": [50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",with,5.729,6.033,0.933,"{""word"": ""with"", ""start"": 5.729, ""end"": 6.033, ""score"": 0.933}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1,0,3.18,6.68, I celebrate my last festival with my daughter.,"[50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 1, ""seek"": 0, ""start"": 3.18, ""end"": 6.68, ""text"": "" I celebrate my last festival with my daughter."", ""tokens"": [50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",my,6.134,6.296,0.946,"{""word"": ""my"", ""start"": 6.134, ""end"": 6.296, ""score"": 0.946}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1,0,3.18,6.68, I celebrate my last festival with my daughter.,"[50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 1, ""seek"": 0, ""start"": 3.18, ""end"": 6.68, ""text"": "" I celebrate my last festival with my daughter."", ""tokens"": [50524, 286, 8098, 452, 1036, 12091, 365, 452, 4653, 13, 50699], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",daughter.,6.377,6.7,0.581,"{""word"": ""daughter."", ""start"": 6.377, ""end"": 6.7, ""score"": 0.581}"
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,2,0,7.58,12.32, And my daughter loves Diwali.,"[50744, 400, 452, 4653, 6752, 8789, 40054, 13, 50981]",0.0,-0.36374671642596906,1.4356435643564356,0.027349354699254036,"{""id"": 2, ""seek"": 0, ""start"": 7.58, ""end"": 12.32, ""text"": "" And my daughter loves Diwali."", ""tokens"": [50744, 400, 452, 4653, 6752, 8789, 40054, 13, 50981], ""temperature"": 0.0, ""avg_logprob"": -0.36374671642596906, ""compression_ratio"": 1.4356435643564356, ""no_speech_prob"": 0.027349354699254036}",And,7.58,7.943,0.724,"{""word"": ""And"", ""start"": 7.58, ""end"": 7.943, ""score"": 0.724}"
