audio,sentence,total_words,num_english_words,num_hindi_words,CMI,duration_sec,WPM,speech_rate,code_switch_count,hi_to_en_switch,en_to_hi_switch
AD09061.wav,वीर बड़े भाई known for his curiosity and दीया छोटी बहन admired for her creativity,15,9,6,40.0,6.6431875,135.48,2.26,3,2,1
AD09062.wav,एक गर्मी के दिन के दोपहर में while exploring the attic of their old house तब उन्हें एक,18,8,10,44.44,8.557375,126.21,2.1,2,1,1
AD09063.wav,Dusty book मिली old book मिली filled with mysterious symbol and ancient drawing. Excited by their discovery they spent hours,20,18,2,10.0,9.5675625,125.42,2.09,4,2,2
AD09064.wav,deciphering the symbols finally translating a passage that spoke of a hidden portal to the magical world,17,17,0,0.0,8.9295,114.23,1.9,0,0,0
AD09065.wav,सूरज अस्त होने पर वीर और दिया ने इस छुपी गुफा को ढूंढने की एक यात्रा पर निकलने का फैसला किया after searching high and low उन्हें city के किनारे एक old abandoned house खोज निकाला,36,9,27,25.0,15.7885625,136.81,2.28,6,3,3
AD09066.wav,Bated breathe,2,2,0,0.0,5.845625,20.53,0.34,0,0,0
AD09067.wav,Stepping through the passage,4,4,0,0.0,5.57975,43.01,0.72,0,0,0
AD09068.wav,anxiously उन्हें जंगल के अंदर और गहरा प्रवेश किया जहां उन्हें कल्प-वृक्षों और जादूई दृश्यों का सामना किया,18,1,17,5.56,11.3754375,94.94,1.58,1,0,1
AD09069.wav,कई घंटो के अन्वेषण के बाद उन्हें जंगल के मध्यम में स्थित एक महल को खोज निकाला महल के द्वार पर उन्हें एक बुद्धिमान पुराने विद्वान द्वारा स्वागत किया गया the wizard welcome them,34,4,30,11.76,14.087125,144.81,2.41,1,1,0
AD09070.wav,reminding them that the true magic lies within their hearts and that the bond of siblings is the greatest strongest magic of all,23,23,0,0.0,11.5349375,119.64,1.99,0,0,0
AD09071.wav,the next comes an image,5,5,0,0.0,5.7924375,51.79,0.86,0,0,0
AD09072.wav,that's a barren land Barren पड़ी है ऐसा लगता है कि ये desert है एक और there are small small Mountains are there जो mountains है and that are short heighted mountain जिससे की साफ नजर आता है कि ये एक desert का part है,45,22,23,48.89,16.00125,168.74,2.81,13,6,7
AD09073.wav,There was one boy standing and looking,7,7,0,0.0,2.8680625,146.44,2.44,0,0,0
AD09074.wav,अगर हम बात करें इसकी back side में desert है but there is something water to which he is looking to,21,14,7,33.33,8.77,143.67,2.39,5,3,2
AD09075.wav,पानी की तरफ शायद वो देख रहा है and he is thinking something that is something going inside his mind,20,12,8,40.0,8.8231875,136.01,2.27,1,1,0
AD09076.wav,and secondly ऐसा भी लगता है कि है he is in some tension और यहां पर वो tension को relieve करने आया है,23,9,14,39.13,7.174875,192.34,3.21,7,3,4
AD09077.wav,there is उसके पीछे एक पुराना कुछ wreckage पड़ा है,10,3,7,30.0,4.729,126.88,2.11,3,1,2
AD09078.wav,उस wreckge का support लेकर he is thinking something,9,6,3,33.33,3.2934375,163.96,2.73,5,3,2
AD09079.wav,और ऐसा भी लगता है he is emotionally imbalanced I mean not imbalance is not the right word,18,13,5,27.78,6.3773125,169.35,2.82,1,1,0
AD09080.wav,परेशान परेशान है थोड़ा सा,5,0,5,0.0,2.6021875,115.29,1.92,0,0,0
AD09081.wav,परेशानी की वजह से वो ऐसी जगह है ताकि उसे थोड़ा peace मिल सके,14,1,13,7.14,5.1544375,162.97,2.72,2,1,1
AD09082.wav,I can see a a boy and a girl उनके जो age होगी that is वो एक साल से कम की लग रही है and both are twins दोनों twins है,31,17,14,45.16,9.886625,188.13,3.14,9,4,5
AD09083.wav,baby chair पे दोनों बैठे हैं and they are eating food food food खा रहे हैं the boy is calm वो चुप है and the girl is crying,28,18,10,35.71,12.9173125,130.06,2.17,6,3,3
AD09084.wav,शायद अपनी she is calling her parents,7,5,2,28.57,3.825125,109.8,1.83,1,1,0
AD09085.wav,Table पे there is a water bottle and the snacks,10,9,1,10.0,4.0378125,148.6,2.48,2,1,1
AD09086.wav,Some breads,2,2,0,0.0,1.3260625,90.49,1.51,0,0,0
AD09087.wav,Crumbled eggs are there are there apples are there,9,9,0,0.0,3.24025,166.65,2.78,0,0,0
AD09088.wav,एक table और है वहां पे one table is also there उस टेबल पर कुछ soft toys रखे हैं,19,8,11,42.11,7.4939375,152.12,2.54,6,3,3
AD09089.wav,और ये जो picture है ना ये picture is a picture of a garden and they are sitting in a garden enjoying their food boys है yes boys is enjoying his food and a girl is calling calling her parents,40,33,7,17.5,15.8949375,150.99,2.52,5,3,2
AD09090.wav,image of a boy लड़के की image है उसकी जो age लग रही है उम्र लग रही है it is like five-six year between five-six years he is a toddler and somebody is clicking his picture,36,24,12,33.33,15.6290625,138.2,2.3,6,3,3
AD09091.wav,और वो बहुत खुशी से अपनी picture click करा रहा है and the smiling a smiling picture this is a smiling this boy is smiling or एक boy की smile करते हुए picture है,34,20,14,41.18,12.917375,157.93,2.63,10,5,5
AD09092.wav,Next image है,3,2,1,33.33,1.6983125,105.99,1.77,1,0,1
AD09093.wav,एक लड़का है there is one boy and he is jumping with joy ऐसा लग रहा है कि वो बहुत खुशी,21,10,11,47.62,6.7495,186.68,3.11,2,1,1
AD09094.wav,He is very happy and he is jumping with joy,10,10,0,0.0,3.7719375,159.07,2.65,0,0,0
AD09095.wav,And he has some cloth in his hand and he is jumping with जो उसके पीछे जो cloth है वो ऐसा लग रहा है जैसे batman की dress होती है न उसने उस cloth को,35,17,18,48.57,13.82125,151.94,2.53,9,4,5
AD09096.wav,and it's blowing in the air,6,6,0,0.0,2.23,161.43,2.69,0,0,0
AD09097.wav,और जो जहां पे वो jump कर रहा है that's a,11,3,8,27.27,4.037875,163.45,2.72,3,2,1
AD09098.wav,mountain वाला area है पीछे उसके back side में mountain background में mountain है आगे there is one road और जो road है,23,12,11,47.83,8.185125,168.6,2.81,13,6,7
AD09099.wav,वो खाली है and he is jumping with joy,9,6,3,33.33,3.0275625,178.36,2.97,1,1,0
AD09100.wav,next image next image is of christmas tree christmas tree है बहुत अच्छे से decorate किया है christmas tree को छोटे छोटे toys से decorate किया है there are bells there are small small toys are there,37,25,12,32.43,14.406125,154.1,2.57,10,5,5
AD09101.wav,light lights भी है,4,2,2,50.0,2.1236875,113.01,1.88,1,0,1
AD09102.wav,Golden balls are there,4,4,0,0.0,1.7514375,137.03,2.28,0,0,0
AD09103.wav,ऐसा लग रहा है कि like ये Christmas Eve है,10,3,7,30.0,4.0378125,148.6,2.48,4,2,2
AD09104.wav,and the tree seems to be christmas tree seems to be very beautiful,13,13,0,0.0,4.1973125,185.83,3.1,0,0,0
AD09105.wav,Thank you,2,2,0,0.0,1.272875,94.27,1.57,0,0,0
AD13001.wav,So the first question is what is your favourite festival,10,10,0,0.0,3.456625,173.58,2.89,0,0,0
AD13002.wav,And how did you celebrate your last festival? What do you feel about it?,14,14,0,0.0,5.279875,159.09,2.65,0,0,0
AD13003.wav,So मेरा favourite festival है Diwali,6,4,2,33.33,3.02475,119.02,1.98,4,2,2
AD13004.wav,So Diwali मुझे काफी पसंद है और last year Diwali मैंने celebrate किया था अपने hometown पे,17,7,10,41.18,5.9035625,172.78,2.88,7,3,4
AD13005.wav,along with my family and friends,6,6,0,0.0,1.9691875,182.82,3.05,0,0,0
AD13006.wav,मैंने काफी enjoy किया था crackers burst करे थे,9,3,6,33.33,3.984375,135.53,2.26,4,2,2
AD13007.wav,अपने friends के साथ means photos वगैरह ली थी,9,3,6,33.33,3.6005,149.98,2.5,4,2,2
AD13008.wav,बातें share करी थी हम लोग घूमे थे,8,1,7,12.5,2.6889375,178.51,2.98,2,1,1
AD13009.wav,और काफी अच्छे से हम लोगों ने Diwali celebrate किया था,11,2,9,18.18,3.456625,190.94,3.18,2,1,1
AD13010.wav,So the next is do you like watching series or TV shows? Can you tell me about your favorite TV series or TV show?,24,24,0,0.0,9.79,147.09,2.45,0,0,0
AD13011.wav,my favourite TV series is,5,5,0,0.0,2.401,124.95,2.08,0,0,0
AD13012.wav,पंचायत पंचायत अभी recently उसका season launch हुआ था और मुझे काफी अच्छा लगा था,15,3,12,20.0,5.2976875,169.89,2.83,4,2,2
AD13013.wav,काफी story अच्छी है तो उस लिए मुझे अच्छा लगा moreover उसकी telecast और,14,3,11,21.43,6.71925,125.01,2.08,6,3,3
AD13014.wav,casting काफी अच्छी है तो मुझे अच्छी लगी पंचायत के अलावा मुझे मिर्जापुर काफी अच्छा लगा है अभी तक,19,1,18,5.26,6.9111875,164.95,2.75,1,0,1
AD13015.wav,Stranger Things की बात करू Stranger Things काफी अच्छा लगा है,11,4,7,36.36,3.16875,208.28,3.47,3,1,2
AD13016.wav,the neck web series जो मुझे बहुत ही अच्छी लगी है उसका नाम है money,15,5,10,33.33,4.2723125,210.66,3.51,2,1,1
AD13017.wav,money heist में अलग अलग characters थे जो की एक,10,3,7,30.0,4.1283125,145.34,2.42,3,1,2
AD13018.wav,को implement करते हैं और काफी अच्छे तरीके से उन्होंने bank robbery करी कैसे वो bank robbery करते हैं क्या क्या उनके,22,5,17,22.73,6.1435,214.86,3.58,6,3,3
AD13019.wav,आगे challenges आते हैं वो सब चीज़े उसके अंदर दिखाई गई है,12,1,11,8.33,3.07275,234.32,3.91,2,1,1
AD13020.wav,और money heist में जो मुझे सबसे अच्छा character लगा वो था professor का,14,4,10,28.57,5.3758125,156.26,2.6,6,3,3
AD13021.wav,और काफी अच्छा और challenging role था उसका,8,2,6,25.0,2.9288125,163.89,2.73,2,1,1
AD13022.wav,So this was the best TV show for me,9,9,0,0.0,3.3126875,163.01,2.72,0,0,0
AD13023.wav,What's your hometown? What's so special about the place? Would you like to recommend something from your place to everyone?,20,20,0,0.0,7.630875,157.26,2.62,0,0,0
AD13024.wav,my hometown is Rohtak Haryana मैं Rohtak से belong करता हूं जो की एक Haryana,15,8,7,46.67,6.2875,143.14,2.39,6,3,3
AD13025.wav,Haryana state में है,4,2,2,50.0,1.2015,199.75,3.33,1,0,1
AD13026.wav,उसमें काफी अच्छी जगह है means घूमने की और,9,1,8,11.11,3.7445,144.21,2.4,2,1,1
AD13027.wav,काफ़ी attraction है like Tilyar Lake है वहां पे,9,4,5,44.44,2.832875,190.62,3.18,4,2,2
AD13028.wav,और वहां के लोग काफी अच्छे हैं,7,0,7,0.0,3.7925,110.74,1.85,0,0,0
AD13029.wav,तो ये चीज है apart from that एक और जगह जो मुझे काफी पसंद है वो है,17,3,14,17.65,4.9919375,204.33,3.41,2,1,1
AD13030.wav,Mathura Palwal,2,2,0,0.0,1.6813125,71.37,1.19,0,0,0
AD13031.wav,वहां के लोग भी काफी अच्छे हैं,7,0,7,0.0,1.6813125,249.8,4.16,0,0,0
AD13032.wav,What kind of food do you like? Can you tell me about your favourite dish?,15,15,0,0.0,4.032375,223.19,3.72,0,0,0
AD13033.wav,हर तरह का food ही पसंद है मुझे ऐसा नहीं है preferably वो vegetarian food होना चाहिए because I am a vegetarian,22,9,13,40.91,7.5349375,175.18,2.92,7,4,3
AD13034.wav,dish is राजमा चावल राजमा चावल काफी पसंद है and apart from that I I like sweets also,18,11,7,38.89,9.4541875,114.24,1.9,2,1,1
AD13035.wav,What is your favourite destination for the holiday? Why do you like that place?,14,14,0,0.0,5.0879375,165.1,2.75,0,0,0
AD13036.wav,So favourite destination for the holiday is,7,7,0,0.0,3.5525625,118.22,1.97,0,0,0
AD13037.wav,एक छोटे से गांव में दो friends रहते थे चिंटू और राजू,12,1,11,8.33,4.27225,168.53,2.81,2,1,1
AD13038.wav,दोनों ही बच्चे बहुत मस्ती करते थे और उनकी friendship बिल्कुल चुटकियों की तरह थी हमेशा पास हमेशा साथ,19,1,18,5.26,9.1183125,125.02,2.08,2,1,1
AD13039.wav,चिंटू और राजू ने एक दिन सुना कि उनके पास के जंगल में एक जादुई गुफा है,17,0,17,0.0,5.61575,181.63,3.03,0,0,0
AD13040.wav,इसे सुनके दोनों ने सोचा कि ये उनका next adventure spot हो सकता है So चिंटू और राजू ने अपने झोलो में कुछ snacks और पानी pack किया और गुफा की तरफ चल दिये,34,6,28,17.65,13.772375,148.12,2.47,8,4,4
AD13041.wav,As they walked through the jungle,6,6,0,0.0,5.0879375,70.76,1.18,0,0,0
AD13042.wav,उन्होंने हिम्मत नहीं हारे जब वो गुफा तक पहुंच गए उन्हें गुफा से एक अजीब सी आवाज आई,18,0,18,0.0,7.343,147.08,2.45,0,0,0
AD13043.wav,welcome चिंटू राजू मैं हूं गुफा का guardian तुम दोनों को यहां के राज पता चलेंगे,16,2,14,12.5,8.06275,119.07,1.98,3,1,2
AD13044.wav,चिंटू और राजू ने guardian के दिए गए task complete कर लिए और हर एक task के बाद उन्हें गुफा का secret,22,5,17,22.73,8.350625,158.07,2.63,7,4,3
AD13045.wav,थोड़ा और समझ आ गया slowly and steadily the secrets of the cave begin to unfold before them,18,13,5,27.78,6.3834375,169.19,2.82,1,1,0
AD13046.wav,इस गुफा का राज है साथ निभाना और एक दूसरे की मदद करना,13,0,13,0.0,5.6156875,138.9,2.31,0,0,0
AD13047.wav,ये गुफा उन लोगों के लिए है जो दोस्ती में,10,0,10,0.0,6.2395,96.16,1.6,0,0,0
AD13048.wav,इस राज को समझा और इसके बाद में उनकी दोस्ती और मजबूत हो गई,14,0,14,0.0,4.8000625,175.0,2.92,0,0,0
AD13049.wav,तो बच्चों ये थी चिंटू और राजू की अनोखी गुफा की कहानी दोस्ती और साथ में रहना ही असली खुशी है,21,0,21,0.0,8.4465625,149.17,2.49,0,0,0
AD13050.wav,मिलते हैं अगली कहानी में तब तक अपना ख्याल रखो,10,0,10,0.0,3.984375,150.59,2.51,0,0,0
AD13051.wav,in the heart of the bustling city दो siblings रहते थे वीर and दीया,14,9,5,35.71,5.1359375,163.55,2.73,5,2,3
AD13052.wav,वीर बड़े भाई,3,0,3,0.0,1.3934375,129.18,2.15,0,0,0
AD13053.wav,known for his curiosity and दीया छोटी बहन,8,5,3,37.5,3.8405,124.98,2.08,1,0,1
AD13054.wav,admired for her creativity,4,4,0,0.0,2.0651875,116.21,1.94,0,0,0
AD13055.wav,एक गर्मी के दिन के दोपहर में while exploring the attic of their old house,15,8,7,46.67,6.479375,138.9,2.32,1,1,0
AD13056.wav,तब उन्हें एक dusty old book मिली,7,3,4,42.86,3.07275,136.69,2.28,2,1,1
AD13057.wav,filled with the mysterious symbol and the ancient drawings,9,9,0,0.0,3.3295625,162.18,2.7,0,0,0
AD13058.wav,सूरज अस्त होने पर वीर और दिया ने इस छुपी गुफा को ढूंढने की एक यात्रा पर निकलने का फैसला किया,21,0,21,0.0,8.8609375,142.2,2.37,0,0,0
AD13059.wav,after searching high and low उन्हें city  के किनारे एक old abandoned house,13,9,4,30.77,5.7770625,135.02,2.25,4,2,2
AD13060.wav,They explored the old house,5,5,0,0.0,1.959,153.14,2.55,0,0,0
AD13061.wav,discovering a hidden passage behind a bookshelf. Stepping through the passage,11,11,0,0.0,8.6161875,76.6,1.28,0,0,0
AD13062.wav,anxiously उन्हें जंगल के अंदर और गहरा प्रवेश किया जहां उन्हें कल्प-वृक्षों और जादूई दृश्यों दृश्यों का सामना किया,19,1,18,5.26,12.92375,88.21,1.47,1,0,1
AD13063.wav,कई घंटों के अन्वेषण के बाद,6,0,6,0.0,5.76925,62.4,1.04,0,0,0
AD13064.wav,महल के द्वार पर उन्हें एक बुद्धिमान पुराने विद्वान द्वारा स्वागत किया गया,13,0,13,0.0,6.60925,118.02,1.97,0,0,0
AD13065.wav,the wizard welcoming them,4,4,0,0.0,2.105875,113.97,1.9,0,0,0
AD13066.wav,true magic lies within their hearts and that the bond of the sibling is the strongest magic of the all,20,20,0,0.0,7.4903125,160.21,2.67,0,0,0
AD13067.wav,Can you describe this image?,5,5,0,0.0,1.861125,161.19,2.69,0,0,0
AD13068.wav,अभी मेरे सामने एक image है उसमें एक बंदा अकेला खड़ा हुआ है रेगिस्तान के अंदर और कुछ सोच रहा है,21,1,20,4.76,8.7630625,143.79,2.4,2,1,1
AD13069.wav,may be वो सोच रहा है कि वह कैसे रेगिस्तान के अंदर आ गया और अब वो क्या करेगा जिससे वो इस रेगिस्तान से बाहर निकल सके और अपने,29,2,27,6.9,11.357375,153.2,2.55,1,0,1
AD13070.wav,घर पहुंच सके उसके पास कुछ भी नहीं है ना खाने को खाना है ना पानी है कुछ भी नहीं है,21,0,21,0.0,7.2455625,173.9,2.9,0,0,0
AD13071.wav,वो आराम से खड़ा हुआ है उसने एक hat पहनी हुई है और आराम से खड़ा हुआ है वो,19,1,18,5.26,4.5044375,253.08,4.22,2,1,1
AD13072.wav,एक दूसरी image है अब मेरे सामने उसमें दो बच्चे हैं दोनों बच्चे खाना खा रहे हैं एक बच्चा रो रहा है और एक बच्चा शांत बैठा है,28,1,27,3.57,9.1056875,184.5,3.08,2,1,1
AD13073.wav,तो दोनों बच्चों के सामने लगभग एक ही तरह का खाना है,12,0,12,0.0,5.3365625,134.92,2.25,0,0,0
AD13074.wav,दोनों ही खाना खा रहे हैं but एक शांति से खाना खा रहा है और कैमरे की तरफ देख रहा हैं दूसरा बच्चा रो रहा है irritate हो रहा है,30,2,28,6.67,9.00775,199.83,3.33,4,2,2
AD13075.wav,image से मुझे यही पता लग रहा है,8,1,7,12.5,2.5464375,188.5,3.14,1,0,1
AD13076.wav,तीसरी में एक बच्चे की है जिसने cowboy hat पहनी हुई है और कैमरे की तरफ देख कर मुस्कुरा रहा है,21,2,19,9.52,7.09875,177.5,2.96,2,1,1
AD13077.wav,smile कर रहा है maybe वह काफी खुश है,9,2,7,22.22,2.8890625,186.91,3.12,3,1,2
AD13078.wav,आज उसको कोई surprise मिला है या कुछ अच्छा होने वाला है उसकी life के अंदर,16,2,14,12.5,4.798125,200.08,3.33,4,2,2
AD13079.wav,या उसका आज birthday है तो काफी खुश है वो बच्चा काफी खुश नजर आ रहा है,17,1,16,5.88,3.966,257.19,4.29,2,1,1
AD13080.wav,अब next जो image है मेरे पास उसमें एक इंसान है जो की हवा में उड़ रहा है,18,2,16,11.11,5.238625,206.16,3.44,4,2,2
AD13081.wav,उसके हाथ में कोई कपड़ा है,6,0,6,0.0,2.399625,150.02,2.5,0,0,0
AD13082.wav,और काफी excited हैं वो बंदा,6,1,5,16.67,3.574375,100.72,1.68,2,1,1
AD13083.wav,और काफी खुश नजर आ रहा है,7,0,7,0.0,2.20375,190.58,3.18,0,0,0
AD13084.wav,तो ये image happiness state को दिखा रही है,9,3,6,33.33,3.917,137.86,2.3,2,1,1
AD13085.wav,उसके बाद जो मेरे पास जो image है उसमें एक christmas tree है जिसपे कुछ,15,3,12,20.0,5.532375,162.68,2.71,4,2,2
AD13086.wav,lights gifts वगैरा लगे हुए,5,2,3,40.0,3.0359375,98.82,1.65,1,0,1
AD13087.wav,और काफी अच्छा लग रहा है कि यह tree देखने में,11,1,10,9.09,4.7001875,140.42,2.34,2,1,1
AD13088.wav,अगर कोई बच्चा इसको देखेगा तो काफी खुश होएगा,9,0,9,0.0,2.9869375,180.79,3.01,0,0,0
AD13089.wav,thank you,2,2,0,0.0,0.9800625,122.44,2.04,0,0,0
AD15001.wav,Do you like watching series or TV show? Can you tell me about your favourite series or TV show?,19,19,0,0.0,5.7596875,197.93,3.3,0,0,0
