file_path,language,time_stamp,content,translation
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,0.000-15.640,"दाच सब बैरिन लैंड, बैरिन पड़ी है, ऐसा लगता है कि ये डेजर्ट है एक, और there are small small mountains are there, जो mountains हैं, that are short heighted mountains, जिससे कि साफ नजर आता है कि ये डेजर्ट का पाथ है,",That's a barren land. It looks like a desert.
datasets\Corpus\adult\audio\test_split\AD09073.wav,en,0.000-2.460,There was one boy standing and looking.,There was one boy standing and looking.
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,0.000-5.180,कि परेशानी की वजह से वह ऐसी जगह आया है ताकि उसे थोड़ा पीस मिल सके अ,I have placed it in such a way so that it can get some piece.
datasets\Corpus\adult\audio\test_split\AD09099.wav,en,0.000-2.560,वो खाली है and he is jumping with joy,He is empty and jumping with joy.
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,0.000-6.000,"है। कि पानसी, रोजरिकारां यो क्यौपीं का सवाहत्म करेंगा वाले छोटे-छोटे गांध में स्टाइल होना चाहिए",Next image is of Christmas tree.
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,6.000-12.000,रोजरिकारां यो क्षस्मास को अच्छे और क्षाउदाणतिल ऑपंदिस डेकॉरेटी है। बाताइत,Christmas tree is decorated very nicely.
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,12.000-14.380,तो इस प्राप्त लोग पर देखते हैं,Decorated with small toys. There are bells.
datasets\Corpus\adult\audio\test_split\AD09102.wav,en,0.000-1.480,Golden balls are there.,Golden balls are there.
datasets\Corpus\adult\audio\test_split\AD09105.wav,en,0.000-0.720,Thank you,Thank you.
datasets\Corpus\adult\audio\test_split\AD13003.wav,hi,0.000-3.020,तो मेरा प्रेसिडेट फेस्टिवल है दिवाली,So my favorite festival is Diwali.
datasets\Corpus\adult\audio\test_split\AD13015.wav,en,0.000-3.060,stranger things की बात करूँ stranger things काफी अच्छा लगा है,I like Stranger Things
datasets\Corpus\adult\audio\test_split\AD13019.wav,ur,0.000-2.980,آگے چیلنجز آتے ہیں وہ سب چیزیں اس کے اندر دکھائی گئی ہیں,first challenges section
datasets\Corpus\adult\audio\test_split\AD13028.wav,ur,0.000-3.600,اور وہاں کے لوگ کافی اچھے ہیں,and the people there are very nice
datasets\Corpus\adult\audio\test_split\AD13034.wav,hi,0.000-9.420,डेश राजमा चावल राजमा चावल काफी पसंद है और अपार्ट फ्रॉम देट मिनट साइड लाइक स्वीट्स ऑल्सों,Rajma Chawal is my favourite dish
datasets\Corpus\adult\audio\test_split\AD13035.wav,en,0.000-4.880,What is your favorite destination for the holiday? Why do you like that place?,What is your favorite destination for the holiday? Why do you like that place?
datasets\Corpus\adult\audio\test_split\AD13036.wav,en,0.000-3.520,so favorite destination for the holidays,so favorite destination for the holidays
datasets\Corpus\adult\audio\test_split\AD13040.wav,hi,0.000-6.200,इसे सुनके दोनों ने सोचा कि ये उनका नेक्स्ट अडवेंचर स्पोर्ट हो सकता है,"After hearing this, both thought that this could be their next adventure spot."
datasets\Corpus\adult\audio\test_split\AD13040.wav,hi,6.200-13.720,सो चिंटू और राजू ने अपने जोले में कुछ स्नैक्स और पानी पैक किया और गुफा के तरफ चल दिये,So Chintu and Raju packed some snacks and water in their boats and headed towards the cave.
datasets\Corpus\adult\audio\test_split\AD13046.wav,hi,0.000-5.600,इस गुफा का राज है साथ निभाना और एक दूसरे की मदद करना।,The rule of this cave is to help each other and to live together.
datasets\Corpus\adult\audio\test_split\AD13057.wav,en,0.000-3.280,filled with the mysterious symbol and the ancient drawings.,filled with the mysterious symbol and the ancient drawings.
datasets\Corpus\adult\audio\test_split\AD13060.wav,en,0.000-2.000,They explored the old house.,They explored the old house.
datasets\Corpus\adult\audio\test_split\AD13063.wav,hi,0.000-5.760,कई घंटों के अनुविश्ण के बाद उन्हें जंगल के मद्दे में स्तित एक महल करता है।,"After several hours of exploration, he found a palace in the middle of the forest."
datasets\Corpus\adult\audio\test_split\AD13065.wav,en,0.000-2.100,the wizard welcoming them.,"the wizard welcoming them,"
datasets\Corpus\adult\audio\test_split\AD13067.wav,en,0.000-1.840,Can you describe this image?,Can you describe this image?
datasets\Corpus\adult\audio\test_split\AD13069.wav,hi,0.000-11.240,कि में भी वह सोच रहा है कि वह कैसे इस रेगिस्थान के अंदर आ गया और अब वह क्या करेगा जिससे वह इस रेगिस्थान से बाहर निकल सके और अपने,I am also thinking how he came inside this desert and what he will do to get out of this desert.
datasets\Corpus\adult\audio\test_split\AD13072.wav,hi,0.000-8.880,"एक दूसरी में जब मेरे सामनी उसमें दो बच्चे हैं, दोनों बच्चे खाना खा रहे हैं, एक बच्चा रो रहा है और एक बच्चा शांत बैठा है","In the other image, there are two children in front of me."
datasets\Corpus\adult\audio\test_split\AD13079.wav,ur,0.000-2.500,یا اس کا آج برڈے ہے تو کافی خوش ہے وہ بچہ,"or it is his birthday today, then he is very happy."
datasets\Corpus\adult\audio\test_split\AD15004.wav,hi,0.000-2.360,अपनापन जो फ्रेंड्स के बीच में होता है,The closeness that exists between friends
datasets\Corpus\adult\audio\test_split\AD15008.wav,hi,0.000-3.300,"रोमांटिक पार्ट भी है, मतलब इतिस वेरी ब्यूटिफुल शोओ",It is a very beautiful show.
datasets\Corpus\adult\audio\test_split\AD15014.wav,ur,0.000-3.020,آپ نے میو شوٹنگز اگر سنا ہے,"If you have heard of Mayur shootings and shootings, then all the yarns or shooting, shirting, clothes,"
datasets\Corpus\adult\audio\test_split\AD15018.wav,hi,0.000-3.900,तो आप यह खरीद सकते हैं,I would recommend you to buy it from there.
datasets\Corpus\adult\audio\test_split\AD15021.wav,en,0.000-4.080,it is a complete you know nutritions are complete in this dish,it is a complete you know nutritions are complete in this dish
datasets\Corpus\adult\audio\test_split\AD15025.wav,en,0.000-2.060,sweetness and,sweetness and
datasets\Corpus\adult\audio\test_split\AD15026.wav,en,0.000-3.040,"When I'm explaining it, it's mouth-watering.","When I'm explaining it, it's mouth-watering."
datasets\Corpus\adult\audio\test_split\AD15036.wav,ne,0.000-1.440,एक छोटी सी गाउं,A small village
datasets\Corpus\adult\audio\test_split\AD15038.wav,hi,0.000-4.880,चिंटू और राजू ने एक दिन सुना कि उनके पास के जंगल में एक जादूई गुफा है।,Chintu and Raju heard that there is a magical cave in the forest near them.
datasets\Corpus\adult\audio\test_split\AD15039.wav,hi,0.000-4.820,इसे सुनके दोनों ने सोचा कि ये उनका नेक्स्ट अडवेंचर स्पॉट हो सकता है,"Hearing this, they both thought that this could be their next adventure spot."
datasets\Corpus\adult\audio\test_split\AD15048.wav,hi,0.000-4.760,"ये गुफा उन दोनों के लिए है जो दोस्ती में, प्यार में और साथ में हमेशा साथ रहते हैं।","This cave is for those who live together in friendship, love and togetherness."
datasets\Corpus\adult\audio\test_split\AD15050.wav,hi,0.000-3.780,तो बच्चों यही थी चिंटू और राजू की अगनोखी गुफा की कहानी,"So children, this was the story of Chintu and Raju's unique cave."
datasets\Corpus\adult\audio\test_split\AD15051.wav,hi,0.000-2.440,दोस्ती और साथ में रहना ही असली खुशी है,Friendship and being with them is the real happiness.
datasets\Corpus\adult\audio\test_split\AD15052.wav,hi,0.000-1.520,मिलते हैं अगली कहानी में,See you in the next episode.
datasets\Corpus\adult\audio\test_split\AD15055.wav,hi,0.000-1.480,दो सिबलिंग रहते थे,They had two siblings.
datasets\Corpus\adult\audio\test_split\AD15056.wav,en,0.000-8.560,"Veer and Diya. Veer, known for his curiosity and Diya, the younger sister, admired for her creativity.","Veer and Diya. Veer, known for his curiosity and Diya, the younger sister, admired for her creativity."
datasets\Corpus\adult\audio\test_split\AD15059.wav,en,0.000-3.200,filled with mysterious symbols and ancient drawings.,filled with mysterious symbols and ancient drawings.
datasets\Corpus\adult\audio\test_split\AD15063.wav,hi,0.000-5.640,आफ्टर सर्चिंग हाई और लो उन्हें सिटी के किनारे एक ओल्ड अबेंडन्ड हाउस खोज निकाला।,"After searching high and low, he found an old abandoned house on the banks of the city."
datasets\Corpus\adult\audio\test_split\AD15065.wav,en,0.000-4.380,"They explored the old house, discovering a hidden passage behind a bookshelf.","They explored the old house, discovering a hidden passage behind a bookshelf."
datasets\Corpus\adult\audio\test_split\AD15069.wav,en,0.000-4.880,"The wizard welcomed them, reminding them that the true magic lies within their hearts.","The wizard welcomed them, reminding them that the true magic lies within their hearts."
datasets\Corpus\adult\audio\test_split\AD15071.wav,en,0.000-2.000,What are your thoughts about it?,What are your thoughts about it?
datasets\Corpus\adult\audio\test_split\AD15082.wav,hi,0.000-1.360,सेट सी इमेज लग रही है,It looks like a sad image.
datasets\Corpus\adult\audio\test_split\AD15084.wav,en,0.000-5.900,"In this image, there are two cute kids. They are having their food.","In this image, there are two cute kids. They are having their food."
datasets\Corpus\adult\audio\test_split\AD15087.wav,hi,0.000-1.520,लेकिन जो दूसरा बच्चा है,But the second child
datasets\Corpus\adult\audio\test_split\AD15089.wav,en,0.000-2.000,He is not happy about the food.,He is not happy about the food.
datasets\Corpus\adult\audio\test_split\AD15091.wav,hi,0.000-6.940,प्लीडिंग कि मेरे को कुछ अच्छा सा खाने का दो चटपटा सा क्योंकि जो भी आपने प्लेट में दिया इट इस नॉट गुड आई,pleading for something to eat
datasets\Corpus\adult\audio\test_split\AD15091.wav,hi,6.940-10.380,नॉट लाइकिंग एट सो यह पिक्चर उसको डिपिक कर रही है अ,because whatever you have given in the plate is not good
datasets\Corpus\adult\audio\test_split\AD15099.wav,hi,0.000-3.600,किसी को एयरपोर्ट पर लेने आया है शायद और वो,He came to pick someone up at the airport.
datasets\Corpus\adult\audio\test_split\AD15101.wav,fa,0.000-0.900,باید خوششه,I really like it
datasets\Corpus\adult\audio\test_split\AD15115.wav,hi,0.000-7.960,"और joy, happiness, खुशियां, बहुत सारे relatives, बहुत सारे लोग जिनके साथ party कर सकते हैं","and joy, happiness, many relatives, many people with whom we can party."
datasets\Corpus\adult\audio\test_split\AD16003.wav,hi,0.000-2.840,मेरा फेवरेट फेस्टिवल देवाली है,My favourite festival is Diwali
datasets\Corpus\adult\audio\test_split\AD16008.wav,hi,0.000-2.900,फैमिली टाइम स्पेंड करने के लिए जादा मिलता है,is more for family time.
datasets\Corpus\adult\audio\test_split\AD16014.wav,en,0.000-4.100,So what's your hometown? What's so special about the place?,So what's your hometown? What's so special about the place?
datasets\Corpus\adult\audio\test_split\AD16014.wav,en,4.340-7.460,Would you like to recommend something from your place to everyone?,Would you like to recommend something from your place to everyone?
datasets\Corpus\adult\audio\test_split\AD16015.wav,hi,0.000-2.900,"येस, सो मेरा होम टाउन है फरुखावाद","Yes, so my hometown is Farookhabad."
datasets\Corpus\adult\audio\test_split\AD16027.wav,hi,0.000-9.080,"इसलिए अच्छा लगता है कि हम लोग जैसे कि दहरदून में रहते हैं, मसूरी पास में हैं, माउंटेंस बहुत हैं और एंड आई लव माउंटेंस",That's why I like it here.
datasets\Corpus\adult\audio\test_split\AD16035.wav,hi,0.000-6.900,पर उन्होंने हिम्मत नहीं आ रही,"As they walked through the jungle, they felt as if someone was watching them."
datasets\Corpus\adult\audio\test_split\AD16040.wav,hi,0.000-1.760,चिन्टू और राजू ने गार्डियन्स,Chintu and Raju have become guardians.
datasets\Corpus\adult\audio\test_split\AD16042.wav,en,0.000-4.080,"steadily, the secrets of the cave began to unfold before them.","steadily, the secrets of the cave began to unfold before them."
datasets\Corpus\adult\audio\test_split\AD16045.wav,hi,0.000-5.520,उन लोगों के लिए है जो दोस्ती में प्यार में और साथ में हमेशा रहते हैं,"It is for those people who are always in friendship, love and togetherness."
datasets\Corpus\adult\audio\test_split\AD16046.wav,hi,0.000-2.640,चिंटू और राजू ने इस राज को समझा,Chintu and Raju understood this secret.
datasets\Corpus\adult\audio\test_split\AD16050.wav,hi,0.000-1.880,मिलते हैं अगली कहानी में,See you in the next story.
datasets\Corpus\adult\audio\test_split\AD16054.wav,de,0.000-1.300,Veer and Daya,Veer and Daya
datasets\Corpus\adult\audio\test_split\AD16055.wav,hi,0.000-1.180,वीर बड़े भाई,"Veer, elder brother"
datasets\Corpus\adult\audio\test_split\AD16065.wav,en,0.000-3.600,poke of a hidden portal to a magical world.,poke of a hidden portal to a magical world.
datasets\Corpus\adult\audio\test_split\AD16067.wav,hi,0.000-5.500,इस छुपी गुफा को ढूनने की एक यात्रा पर निकलने का फैसला किया,decided to go on a journey to find this hidden cave.
datasets\Corpus\adult\audio\test_split\AD16075.wav,hi,0.000-6.940,कई घंटों के अन्वेशन के बाद उन्हें जंगल के मध्य में स्थित एक महल को खोज निकाला।,"After several hours of exploration, he found a palace in the middle of the forest."
datasets\Corpus\adult\audio\test_split\AD16080.wav,en,0.000-4.080,Can you describe this image? What are your thoughts about it?,Can you describe this image? What are your thoughts about it?
datasets\Corpus\adult\audio\test_split\AD16081.wav,en,0.000-1.380,Seems to me,Seems to me
datasets\Corpus\adult\audio\test_split\AD16083.wav,hi,0.000-1.500,घर की याद आ रही है,I miss home
datasets\Corpus\adult\audio\test_split\AD16088.wav,hi,0.000-0.680,और,And
datasets\Corpus\adult\audio\test_split\AD16090.wav,hi,0.000-2.340,कि आई थिंग उसको पानी चाहिए और,I think he needs water and
datasets\Corpus\adult\audio\test_split\AD16091.wav,hi,0.000-6.700,और दूसरे बच्चे को पानी शायद पीना नहीं आता है उसके आसपास कोई नहीं है पानी देने वाला,and the other child may not know how to drink water
datasets\Corpus\adult\audio\test_split\AD16093.wav,hi,0.000-3.540,"अरे मैं भी तो क्यूट हूँ, मेरा भी फोटो ले लो कोई","I am cute too, take a picture of me too"
datasets\Corpus\adult\audio\test_split\AD16100.wav,hi,0.000-1.320,क्रिस्मस ट्री है,Christmas tree is
datasets\Corpus\adult\audio\test_split\AD16101.wav,hi,0.000-7.100,और ऐसा लग रहा है कि शायद ये Christmas night का है और next day,And it feels like it's Christmas night and the next day...
datasets\Corpus\adult\audio\test_split\AD21007.wav,hi,0.000-8.460,बेटर की होमटाउन पर और बाकी फील करो तो फैमिली वगैरह के साथ थोड़ा अपने मन का खाना बना देती मम्मी तो वह बेटर रहता है,It's better to stay in your hometown and feel the rest.
datasets\Corpus\adult\audio\test_split\AD21010.wav,hi,0.000-2.160,जैसे अभी लास्ट मैंने सीडीज देखी है,Like the last series I watched
datasets\Corpus\adult\audio\test_split\AD21021.wav,en,0.000-3.320,Exactly in Bhawari that is 38 Km,Exactly in Bhawari that is 38 Km
datasets\Corpus\adult\audio\test_split\AD21022.wav,pl,0.000-2.640,away from Prayagraj towards Kanpur.,away from Prayagraj towards Kanpur.
datasets\Corpus\adult\audio\test_split\AD21023.wav,en,0.000-2.720,what is so special about this place it's,What is so special about this place?
datasets\Corpus\adult\audio\test_split\AD21032.wav,en,0.000-1.280,like metro cities and all.,like metro cities and all.
datasets\Corpus\adult\audio\test_split\AD21034.wav,en,0.000-1.120,from your place.,from your place.
datasets\Corpus\adult\audio\test_split\AD21044.wav,hi,0.000-5.220,पंजाबी मेन्यू सो उसमें पनीर की डिशेस अगर कोई है तो बेटर है,This is a Punjabi menu so it has paneer dishes
datasets\Corpus\adult\audio\test_split\AD21053.wav,en,0.000-7.020,"So I can't say that this is any particular, I can't name any particular destination that",So I can't say that this is any particular destination that I could describe it as a favorite destination.
datasets\Corpus\adult\audio\test_split\AD21055.wav,en,0.000-2.000,"Based on the past experience,","Based on the past experience,"
datasets\Corpus\adult\audio\test_split\AD21056.wav,en,0.000-1.120,it actually varies.,it actually varies.
datasets\Corpus\adult\audio\test_split\AD21063.wav,hi,0.000-6.360,वाइड यू लाइक देट टेस्ट आई जेनरेल लाइक टू हाइक एराउंड तो थोड़ा सा मतलब मेरे को आउटस्कॉट में रहना,Why do you like that place?
datasets\Corpus\adult\audio\test_split\AD21073.wav,hi,0.000-7.340,तो चिंटू और राजू ने अपने जोलो में कुछ स्नैक्स और पानी पैक किया और गुफा के तरफ चले गए।,So Chintu and Raju packed some snacks and water in their carts and went towards the cave.
datasets\Corpus\adult\audio\test_split\AD21093.wav,ro,0.000-0.960,We are Dia.,Veer Aur Dia
datasets\Corpus\adult\audio\test_split\AD21095.wav,en,0.000-2.860,"known for his curiosity and the अच्छोटी बहन,",Known for his curiosity and the a choti bhen
datasets\Corpus\adult\audio\test_split\AD21097.wav,hi,0.000-4.880,एक गर्मी के दिन के दुपहर में वाइल एक्सप्लोरिंग दे एटिक ओफ देर ओल्ड हाउस,"In the afternoon of a hot summer day,"
datasets\Corpus\adult\audio\test_split\AD21107.wav,hi,0.000-3.200,उन्हें सिटी के किनारे एक ओल्ड अबैंडन्ड हाउस खोजा।,He found an old abandoned house on the side of the city.
datasets\Corpus\adult\audio\test_split\AD21109.wav,en,0.000-4.720,"They explored the old house, discovering a hidden passage behind a bookshelf.","They explored the old house, discovering a hidden passage behind a bookshelf."
datasets\Corpus\adult\audio\test_split\AD21112.wav,hi,0.000-3.380,कल्प वृक्षों और जादोई द्रिश्यों का सामना करें।,The
datasets\Corpus\adult\audio\test_split\AD21114.wav,hi,0.000-29.980,कई घंटों के अन्वेशन के बाद उन्होंने जंगल के विश्वाने के पहले जंगल के पर प्रदार आपका ज़रूर है।,"After several hours of unvation, he went to the forest."
datasets\Corpus\adult\audio\test_split\AD21121.wav,en,0.000-3.860,reminding them that the true magic lies within their heart,reminding them that the true magic lies within their heart
datasets\Corpus\adult\audio\test_split\AD21121.wav,en,3.860-7.980,and the bond of siblings is the strongest magic of all.,and the bond of siblings is the strongest magic of all.
datasets\Corpus\adult\audio\test_split\AD21125.wav,et,0.000-2.800,looks like a run of kutch or maybe like,looks like a run of kutch or maybe like
datasets\Corpus\adult\audio\test_split\AD21127.wav,en,0.000-2.880,That is why the floor looks a little bit wet.,That is why the floor looks a little bit wet.
datasets\Corpus\adult\audio\test_split\AD21130.wav,en,0.000-2.720,"are enjoying their food, one is crying and one is","are enjoying their food, one is crying and one is"
datasets\Corpus\adult\audio\test_split\AD21133.wav,en,0.000-1.600,Looks happy child.,Looks happy child
datasets\Corpus\adult\audio\test_split\AD21134.wav,en,0.000-1.760,who's happily posing for,who's happily posing for
datasets\Corpus\adult\audio\test_split\AD21142.wav,id,0.000-2.000,jumping out,jumping out
datasets\Corpus\adult\audio\test_split\AD21143.wav,en,0.000-2.980,"Christmas tree, this is the fifth image, looks like a Christmas tree","Christmas tree, this is the fifth image, looks like a Christmas tree"
datasets\Corpus\adult\audio\test_split\AD22002.wav,en,0.000-5.280,and how do you celebrate your last festival i celebrated my last holy festival with,and how do you celebrate your last festival i celebrated my last holy festival with
datasets\Corpus\adult\audio\test_split\AD22007.wav,en,0.000-1.600,What do you feel about that?,What do you feel about that?
datasets\Corpus\adult\audio\test_split\AD22009.wav,hi,0.000-2.000,किलर्स के साथ में खेलना पसंद है,I like playing with killers.
datasets\Corpus\adult\audio\test_split\AD22029.wav,ur,0.000-2.480,کچھ نہیں ہے صرف پہاڑوں میں جانا ہے مرکو,I have to go to the mountains.
datasets\Corpus\adult\audio\test_split\AD22030.wav,en,0.000-1.060,Why do you like that place?,Why do you like that place?
datasets\Corpus\adult\audio\test_split\AD22034.wav,hi,0.000-5.440,एक छोटे से गाउ में दो फ्रेंड्स रहते थे चिंटू और राजू दोनों ही बच्चे बहुत मस्ती करते थे,"There were two friends in a small village, Chintu and Raju. Both of them were very funny kids."
datasets\Corpus\adult\audio\test_split\AD22034.wav,hi,5.440-10.460,उनकी फ्रेंड्शिप बिल्कुल चुट्कियों की तरह थी हमेशा पास हमेशा साथ,"Their friendship was like a pinch. Always close, always together."
datasets\Corpus\adult\audio\test_split\AD22039.wav,hi,0.000-2.480,चिंटू और राजू ने अपने,So Chintu and Raju have
datasets\Corpus\adult\audio\test_split\AD22043.wav,hi,0.000-2.060,जब वो गुफा तक पहुँच गए,"When they reached the cave,"
datasets\Corpus\adult\audio\test_split\AD22048.wav,ko,0.000-1.400,둔둔 오고야,Don доہ now.
datasets\Corpus\adult\audio\test_split\AD22051.wav,hi,0.000-9.640,चिंटू और राजू ने गारजियन के दिये गए टास्क कम्प्लीट कर लिये और हर एक टास्क के बाद उन्हें गुफा का सीकरित थोड़ा समझ आ गया।,Chintu and Raju completed the tasks given by the guardian and after each task they understood the secret of the cave a little.
datasets\Corpus\adult\audio\test_split\AD22052.wav,en,0.000-1.380,slowly and steadily,slowly and steadily
datasets\Corpus\adult\audio\test_split\AD22053.wav,en,0.000-3.680,the secrets of the cave began to unfold before them.,the secrets of the cave began to unfold before them.
datasets\Corpus\adult\audio\test_split\AD22055.wav,hi,0.000-2.680,साथ निभाना और एक दूसरे की मदद करना,and help each other.
datasets\Corpus\adult\audio\test_split\AD22056.wav,hi,0.000-3.000,ये गुफा उन लोगों के लिए है जो दोस्ती में प्रभाविक है।,This cave is for those who are in friendship
datasets\Corpus\adult\audio\test_split\AD22058.wav,hi,0.000-4.160,चेंटू और राजू ने इस राज को समझा और इसके बाद,Chantu and Raju understood this secret and after that
datasets\Corpus\adult\audio\test_split\AD22062.wav,ur,0.000-1.680,اور ساتھ میں رہنے کی,and to stay with them
datasets\Corpus\adult\audio\test_split\AD22066.wav,mr,0.000-1.260,वीर एंड दयाव,Veer and Dayaan
datasets\Corpus\adult\audio\test_split\AD22066.wav,hi,1.260-2.420,वीर बड़े भाई,"Veer, big brother"
datasets\Corpus\adult\audio\test_split\AD22071.wav,en,0.000-2.000,excited by their discovery,excited by their discovery
datasets\Corpus\adult\audio\test_split\AD22076.wav,hi,0.000-4.140,उन्हें सिटी के किनारे एक ओल अवेंडन्ड हाउस खोज निकाला।,He found an old abandoned house on the side of the city.
datasets\Corpus\adult\audio\test_split\AD22079.wav,en,0.000-4.000,they found themselves in a lush magical forest.,they found themselves in a lush magical forest.
datasets\Corpus\adult\audio\test_split\AD22083.wav,hi,0.000-5.220,महल के द्वार पर उनका एक पुराना बुद्धिमान विद्वान ने सौगत किया।,An old wise scholar welcomed him at the door of the palace.
datasets\Corpus\adult\audio\test_split\AD22088.wav,en,0.000-3.320,Can you describe the image? What are your thoughts about it?,Can you describe the image? What are your thoughts about it?
datasets\Corpus\adult\audio\test_split\AD22092.wav,hi,0.000-7.020,अपना खाना देखके क्योंकि एक को कम मिला एक को जादा मिला तभी वो अंसाइटिस्पाइट है उसके ड्रेसिंग सेंस और वो सब चीज़े भी अच्छी है,by looking at their food and other person's eating habits
datasets\Corpus\adult\audio\test_split\AD22093.wav,hi,0.000-1.980,वो विचारा साटिस्पाइड अपनी लाइफ से,He is satisfied with his life.
datasets\Corpus\adult\audio\test_split\AD22093.wav,hi,1.980-2.580,खुश है,He is very happy.
datasets\Corpus\adult\audio\test_split\AD22096.wav,hi,0.000-3.820,सुन्दर जैसा लग रहा है तारक में तक उल्टा चेश्मा में एक सुन्दर होता था उसकी जैसा,It looks beautiful. I had a beautiful pair of glasses in the park.
datasets\Corpus\adult\audio\test_split\AD22099.wav,uk,0.000-0.640,"Ну, коммент.",No comments.
datasets\Corpus\adult\audio\test_split\AD22104.wav,en,0.000-0.400,Thank you.,Thank you.
datasets\Corpus\adult\audio\test_split\AD23008.wav,en,0.000-1.840,What's so special about the place?,What's so special about the place? Would you like to recommend something from your place to everyone?
datasets\Corpus\adult\audio\test_split\AD23017.wav,en,0.000-2.640,is your favorite destination for holidays,is your favorite destination for holidays.
datasets\Corpus\adult\audio\test_split\AD23025.wav,hi,0.000-3.080,और उनकी फ्रेंडशिप बिलकुल चुटकीयों की तरह थी,and their friendship was like a pinch.
datasets\Corpus\adult\audio\test_split\AD23035.wav,ur,0.000-1.680,جب وہ گفہ تک پہنچ گئے,"When they reached the cave, they heard a strange voice."
datasets\Corpus\adult\audio\test_split\AD23036.wav,en,0.000-1.560,Welcome Chintu and Raju,Welcome Chin Toa Raju
datasets\Corpus\adult\audio\test_split\AD23037.wav,hi,0.000-1.500,हूँ गुफा का गार्डियन,I am the guardian of the cave.
datasets\Corpus\adult\audio\test_split\AD23042.wav,hi,0.000-2.780,निभाना और एक दूसरे की मदद करना,and help each other.
datasets\Corpus\adult\audio\test_split\AD23044.wav,hi,0.000-3.880,"जो दोस्ती में, प्यार में और साथ में हमेशा रहते हैं","who are always in friendship, love and togetherness."
datasets\Corpus\adult\audio\test_split\AD23048.wav,hi,0.000-3.080,दोस्ती और साथ में रहना ही असली खुशी है,Friendship and being together is the real happiness.
datasets\Corpus\adult\audio\test_split\AD23050.wav,hi,0.000-2.600,और दोस्ती को हमेशा समझो,and understand friendship always
datasets\Corpus\adult\audio\test_split\AD23050.wav,hi,2.600-3.300,अलविदा,Goodbye
